,id,c_percent,lat,lon,alt,site,site_alt,site_alt_id
297,10-5-D,0.4719819975320612,32.419811118133,-85.4160272625068,-17.5,9,9_D,D
298,10-5-E,0.4289789285469852,32.419811118133,-85.4160272625068,-22.5,9,9_E,E
299,10-5-F,0.13455233278568032,32.419811118133,-85.4160272625068,-27.5,9,9_F,F
300,11-1-A,0.49130030375426625,32.4202607218761,-85.4139705930311,-2.5,10,10_A,A
301,11-1-B,0.5126616601379372,32.4202607218761,-85.4139705930311,-7.5,10,10_B,B
302,11-1-C,0.5505951037655112,32.4202607218761,-85.4139705930311,-12.5,10,10_C,C
303,11-1-D,0.3787681134865381,32.4202607218761,-85.4139705930311,-17.5,10,10_D,D
304,11-1-E,0.3522050110454662,32.4202607218761,-85.4139705930311,-22.5,10,10_E,E
305,11-1-F,0.22029426614915437,32.4202607218761,-85.4139705930311,-27.5,10,10_F,F
306,11-2-A,0.7215104350795826,32.4202607218761,-85.4139705930311,-2.5,10,10_A,A
307,11-2-B,0.624153633019795,32.4202607218761,-85.4139705930311,-7.5,10,10_B,B
308,11-2-C,0.5708639134305871,32.4202607218761,-85.4139705930311,-12.5,10,10_C,C
309,11-2-D,0.30025071260168645,32.4202607218761,-85.4139705930311,-17.5,10,10_D,D
310,11-2-E,0.2905522858121532,32.4202607218761,-85.4139705930311,-22.5,10,10_E,E
311,11-2-F,0.25093923108845156,32.4202607218761,-85.4139705930311,-27.5,10,10_F,F
312,11-3-A,0.6354360779076923,32.4202607218761,-85.4139705930311,-2.5,10,10_A,A
313,11-3-B,0.41725500580414826,32.4202607218761,-85.4139705930311,-7.5,10,10_B,B
314,11-3-C,0.3607047456185932,32.4202607218761,-85.4139705930311,-12.5,10,10_C,C
315,11-3-D,0.3357281637901717,32.4202607218761,-85.4139705930311,-17.5,10,10_D,D
316,11-3-E,0.3737414917207862,32.4202607218761,-85.4139705930311,-22.5,10,10_E,E
317,11-3-F,0.2620489791582808,32.4202607218761,-85.4139705930311,-27.5,10,10_F,F
318,11-4-A,0.964966540694995,32.4202607218761,-85.4139705930311,-2.5,10,10_A,A
319,11-4-B,0.6333750937624685,32.4202607218761,-85.4139705930311,-7.5,10,10_B,B
320,11-4-C,0.39385878906752414,32.4202607218761,-85.4139705930311,-12.5,10,10_C,C
321,11-4-D,0.40843774435519575,32.4202607218761,-85.4139705930311,-17.5,10,10_D,D
322,11-4-E,0.4515191135339503,32.4202607218761,-85.4139705930311,-22.5,10,10_E,E
323,11-4-F,0.4022432003638364,32.4202607218761,-85.4139705930311,-27.5,10,10_F,F
324,11-5-A,0.4702592720306513,32.4202607218761,-85.4139705930311,-2.5,10,10_A,A
325,11-5-B,0.30250753003708286,32.4202607218761,-85.4139705930311,-7.5,10,10_B,B
326,11-5-C,0.2752035904120374,32.4202607218761,-85.4139705930311,-12.5,10,10_C,C
327,11-5-D,0.23564139498312206,32.4202607218761,-85.4139705930311,-17.5,10,10_D,D
328,11-5-E,0.14453574838319452,32.4202607218761,-85.4139705930311,-22.5,10,10_E,E
329,11-5-F,0.1528262823991766,32.4202607218761,-85.4139705930311,-27.5,10,10_F,F
330,12-1-A,0.766419134886774,32.4198913852368,-85.4149519458428,-2.5,11,11_A,A
331,12-1-B,0.5245107295158606,32.4198913852368,-85.4149519458428,-7.5,11,11_B,B
332,12-1-C,0.5557592885611965,32.4198913852368,-85.4149519458428,-12.5,11,11_C,C
333,12-1-D,0.5839276347097119,32.4198913852368,-85.4149519458428,-17.5,11,11_D,D
334,12-1-E,0.5882494025874504,32.4198913852368,-85.4149519458428,-22.5,11,11_E,E
335,12-1-F,0.3247808814569088,32.4198913852368,-85.4149519458428,-27.5,11,11_F,F
336,12-2-A,1.5968845142753885,32.4198913852368,-85.4149519458428,-2.5,11,11_A,A
337,12-2-B,0.6350773826072834,32.4198913852368,-85.4149519458428,-7.5,11,11_B,B
338,12-2-C,0.4811759835691859,32.4198913852368,-85.4149519458428,-12.5,11,11_C,C
339,12-2-D,0.3973052673850478,32.4198913852368,-85.4149519458428,-17.5,11,11_D,D
340,12-2-E,0.3901133014194731,32.4198913852368,-85.4149519458428,-22.5,11,11_E,E
341,12-2-F,0.32556096686159836,32.4198913852368,-85.4149519458428,-27.5,11,11_F,F
342,12-3-A,0.6273687914015633,32.4198913852368,-85.4149519458428,-2.5,11,11_A,A
343,12-3-B,0.3826146593583967,32.4198913852368,-85.4149519458428,-7.5,11,11_B,B
344,12-3-C,0.3662260012501674,32.4198913852368,-85.4149519458428,-12.5,11,11_C,C
345,12-3-D,0.32508521892625863,32.4198913852368,-85.4149519458428,-17.5,11,11_D,D
346,12-3-E,0.33456659679556683,32.4198913852368,-85.4149519458428,-22.5,11,11_E,E
347,12-3-F,0.2749195953158268,32.4198913852368,-85.4149519458428,-27.5,11,11_F,F
348,12-4-A,0.9805805086935825,32.4198913852368,-85.4149519458428,-2.5,11,11_A,A
349,12-4-B,0.7335529648351649,32.4198913852368,-85.4149519458428,-7.5,11,11_B,B
350,12-4-C,0.5345095399835121,32.4198913852368,-85.4149519458428,-12.5,11,11_C,C
351,12-4-D,0.54777909568602,32.4198913852368,-85.4149519458428,-17.5,11,11_D,D
352,12-4-E,0.5320289145329967,32.4198913852368,-85.4149519458428,-22.5,11,11_E,E
353,12-4-F,0.503293366218484,32.4198913852368,-85.4149519458428,-27.5,11,11_F,F
354,12-5-A,0.7730720461538463,32.4198913852368,-85.4149519458428,-2.5,11,11_A,A
355,12-5-B,0.37951563275172506,32.4198913852368,-85.4149519458428,-7.5,11,11_B,B
356,12-5-C,0.35258286273327977,32.4198913852368,-85.4149519458428,-12.5,11,11_C,C
357,12-5-D,0.21948702876670848,32.4198913852368,-85.4149519458428,-17.5,11,11_D,D
358,12-5-E,0.32788425226586104,32.4198913852368,-85.4149519458428,-22.5,11,11_E,E
359,12-5-F,0.3423434675599919,32.4198913852368,-85.4149519458428,-27.5,11,11_F,F
360,13-1-A,1.013856959029964,32.4241909163785,-85.4183566540778,-2.5,12,12_A,A
361,13-1-B,0.5948123725046899,32.4241909163785,-85.4183566540778,-7.5,12,12_B,B
362,13-1-C,0.4567114298752367,32.4241909163785,-85.4183566540778,-12.5,12,12_C,C
363,13-1-D,0.39639120329719557,32.4241909163785,-85.4183566540778,-17.5,12,12_D,D
364,13-1-E,0.3227705311484052,32.4241909163785,-85.4183566540778,-22.5,12,12_E,E
365,13-1-F,0.5324313744027765,32.4241909163785,-85.4183566540778,-27.5,12,12_F,F
366,13-2-A,0.8352821553365902,32.4241909163785,-85.4183566540778,-2.5,12,12_A,A
367,13-2-B,0.582469598271555,32.4241909163785,-85.4183566540778,-7.5,12,12_B,B
368,13-2-C,0.592915332947499,32.4241909163785,-85.4183566540778,-12.5,12,12_C,C
369,13-2-D,0.5947835735061127,32.4241909163785,-85.4183566540778,-17.5,12,12_D,D
370,13-2-E,0.6809670109184329,32.4241909163785,-85.4183566540778,-22.5,12,12_E,E
371,13-2-F,0.515369596997425,32.4241909163785,-85.4183566540778,-27.5,12,12_F,F
372,13-3-A,1.2673667339137205,32.4241909163785,-85.4183566540778,-2.5,12,12_A,A
373,13-3-B,0.7506969334926324,32.4241909163785,-85.4183566540778,-7.5,12,12_B,B
374,13-3-C,0.459364709442167,32.4241909163785,-85.4183566540778,-12.5,12,12_C,C
375,13-3-D,0.34424100221593273,32.4241909163785,-85.4183566540778,-17.5,12,12_D,D
376,13-3-E,0.24954967813856735,32.4241909163785,-85.4183566540778,-22.5,12,12_E,E
377,13-3-F,0.14284368239863224,32.4241909163785,-85.4183566540778,-27.5,12,12_F,F
378,13-4-A,0.8040271170460026,32.4241909163785,-85.4183566540778,-2.5,12,12_A,A
379,13-4-B,0.48881222237043964,32.4241909163785,-85.4183566540778,-7.5,12,12_B,B
380,13-4-C,0.5129356470114711,32.4241909163785,-85.4183566540778,-12.5,12,12_C,C
381,13-4-D,0.5238930093165786,32.4241909163785,-85.4183566540778,-17.5,12,12_D,D
382,13-4-E,0.31698731195617147,32.4241909163785,-85.4183566540778,-22.5,12,12_E,E
383,13-4-F,0.2018104906024943,32.4241909163785,-85.4183566540778,-27.5,12,12_F,F
384,13-5-A,0.8500894912075029,32.4241909163785,-85.4183566540778,-2.5,12,12_A,A
385,13-5-B,0.7212023772127862,32.4241909163785,-85.4183566540778,-7.5,12,12_B,B
386,13-5-C,0.4408370851667558,32.4241909163785,-85.4183566540778,-12.5,12,12_C,C
387,13-5-D,0.545285915842839,32.4241909163785,-85.4183566540778,-17.5,12,12_D,D
388,13-5-E,0.4726875623073719,32.4241909163785,-85.4183566540778,-22.5,12,12_E,E
389,13-5-F,0.27847558671784345,32.4241909163785,-85.4183566540778,-27.5,12,12_F,F
390,14-1-A,0.6278165598924416,32.4232332655168,-85.4177935278981,-2.5,13,13_A,A
391,14-1-B,0.3528193074119356,32.4232332655168,-85.4177935278981,-7.5,13,13_B,B
392,14-1-C,0.2651920414909623,32.4232332655168,-85.4177935278981,-12.5,13,13_C,C
393,14-1-D,0.24812323578818682,32.4232332655168,-85.4177935278981,-17.5,13,13_D,D
394,14-1-E,0.2669016178813174,32.4232332655168,-85.4177935278981,-22.5,13,13_E,E
395,14-1-F,0.1962235769363837,32.4232332655168,-85.4177935278981,-27.5,13,13_F,F
396,14-2-A,0.8224813579986062,32.4232332655168,-85.4177935278981,-2.5,13,13_A,A
397,14-2-B,0.3656696900076209,32.4232332655168,-85.4177935278981,-7.5,13,13_B,B
398,14-2-C,0.32249501691523325,32.4232332655168,-85.4177935278981,-12.5,13,13_C,C
399,14-2-D,0.28418363271797,32.4232332655168,-85.4177935278981,-17.5,13,13_D,D
400,14-2-E,0.33489010589202894,32.4232332655168,-85.4177935278981,-22.5,13,13_E,E
401,14-2-F,0.24826144362364824,32.4232332655168,-85.4177935278981,-27.5,13,13_F,F
402,14-3-A,0.7125713752167645,32.4232332655168,-85.4177935278981,-2.5,13,13_A,A
403,14-3-B,0.4196397938079663,32.4232332655168,-85.4177935278981,-7.5,13,13_B,B
404,14-3-C,0.3291783450221507,32.4232332655168,-85.4177935278981,-12.5,13,13_C,C
405,14-3-D,0.7913862788827662,32.4232332655168,-85.4177935278981,-17.5,13,13_D,D
406,14-3-E,1.3080231958315238,32.4232332655168,-85.4177935278981,-22.5,13,13_E,E
407,14-3-F,0.8302431582398538,32.4232332655168,-85.4177935278981,-27.5,13,13_F,F
408,14-4-A,0.4248553601091177,32.4232332655168,-85.4177935278981,-2.5,13,13_A,A
409,14-4-B,0.2699917280187573,32.4232332655168,-85.4177935278981,-7.5,13,13_B,B
410,14-4-C,0.2703692950110545,32.4232332655168,-85.4177935278981,-12.5,13,13_C,C
